590      ;Locatie client           ;3958     ;FZ0606                                                 ;FUNDATIA IOAN MIHAILESCU  30114074                                                                                                                         ;FUNDATIA IOAN MIHAILESCU                                                                                                                                   ;MFZ0038                                                ;                                                       ;UE                       ;
591      ;Locatie client           ;3959     ;FZ0574                                                 ;IDM ADMINISTRATION SRL  30132046                                                                                                                           ;IDM ADMINISTRATION SRL                                                                                                                                     ;MFZ0039                                                ;----                                                   ;UE                       ;
592      ;Locatie client           ;3960     ;FZ0357                                                 ;ECRAN CLUB EVENTS & RESTAURANT SRL  30334002                                                                                                               ;ECRAN CLUB EVENTS & RESTAURANT SRL                                                                                                                         ;MFZ0040                                                ;                                                       ;UE                       ;
593      ;Locatie client           ;3961     ;FZ0351                                                 ;PFA BARBU LARISA MARIA  30617106                                                                                                                           ;PFA BARBU LARISA MARIA                                                                                                                                     ;MFZ0041                                                ;                                                       ;UE                       ;
594      ;Locatie client           ;3962     ;FZ0186                                                 ;ADVANCED THINKING INNOVATION  30748519                                                                                                                     ;ADVANCED THINKING INNOVATION                                                                                                                               ;MFZ0042                                                ;BUCURESTI                                              ;UE                       ;
595      ;Locatie client           ;3963     ;FZ0269                                                 ;FUN TRAINING SRL  31113840                                                                                                                                 ;FUN TRAINING SRL                                                                                                                                           ;MFZ0043                                                ;                                                       ;UE                       ;
596      ;Locatie client           ;3964     ;FZ0410                                                 ;WANTED GAMES SRL  31291910                                                                                                                                 ;WANTED GAMES SRL                                                                                                                                           ;MFZ0044                                                ;                                                       ;UE                       ;
597      ;Locatie client           ;3965     ;FZ0354                                                 ;BLUE BUSINESS & DESIGN SRL  31385535                                                                                                                       ;BLUE BUSINESS & DESIGN SRL                                                                                                                                 ;MFZ0045                                                ;                                                       ;UE                       ;
598      ;Locatie client           ;3966     ;FZ0226                                                 ;ASOCIATIA BUSINESS SERVICE LEADERS  31411774                                                                                                               ;ASOCIATIA BUSINESS SERVICE LEADERS                                                                                                                         ;MFZ0046                                                ;                                                       ;UE                       ;
599      ;Locatie client           ;3967     ;FZ0809                                                 ;ASOCIATIA DE FORMARE PROFESIONALA IN INFORMATICA  31780925                                                                                                 ;ASOCIATIA DE FORMARE PROFESIONALA IN INFORMATICA                                                                                                           ;MFZ0047                                                ;                                                       ;UE                       ;
600      ;Locatie client           ;3968     ;FZ0396                                                 ;PERIAN MIHAIL TUDOR PFA  31927636                                                                                                                          ;PERIAN MIHAIL TUDOR PFA                                                                                                                                    ;MFZ0048                                                ;                                                       ;UE                       ;
601      ;Locatie client           ;3969     ;FZ0788                                                 ;ROOM 12 MANAGEMENT SRL  32259721                                                                                                                           ;ROOM 12 MANAGEMENT SRL                                                                                                                                     ;MFZ0049                                                ;                                                       ;UE                       ;
602      ;Locatie client           ;3970     ;FZ0227                                                 ;CARAVANA PERSONAJELOR DISNEY SRL  32281176                                                                                                                 ;CARAVANA PERSONAJELOR DISNEY SRL                                                                                                                           ;MFZ0050                                                ;                                                       ;UE                       ;
603      ;Locatie client           ;3971     ;FZ0742                                                 ;SORIDANA CONFORT SRL  32583603                                                                                                                             ;SORIDANA CONFORT SRL                                                                                                                                       ;MFZ0051                                                ;                                                       ;UE                       ;
604      ;Locatie client           ;3972     ;FZ0264                                                 ;AMA LOGISTIC ART SRL  32668297                                                                                                                             ;AMA LOGISTIC ART SRL                                                                                                                                       ;MFZ0052                                                ;                                                       ;UE                       ;
605      ;Locatie client           ;3973     ;FZ0799                                                 ;NEGREA ALEXANDRU-ADRIAN PFA  32756313                                                                                                                      ;NEGREA ALEXANDRU-ADRIAN PFA                                                                                                                                ;MFZ0053                                                ;                                                       ;UE                       ;
606      ;Locatie client           ;3974     ;FZ0514                                                 ;CONNECT HUB SRL  33116940                                                                                                                                  ;CONNECT HUB SRL                                                                                                                                            ;MFZ0054                                                ;                                                       ;UE                       ;
626      ;Locatie client           ;3994     ;FZ0738                                                 ;GENESIS MARKETING & PR SRL  36413245                                                                                                                       ;GENESIS MARKETING & PR SRL                                                                                                                                 ;MFZ0076                                                ;                                                       ;UE                       ;
627      ;Locatie client           ;3995     ;FZ0650                                                 ;HORECA VISION SRL  36448413                                                                                                                                ;HORECA VISION SRL                                                                                                                                          ;MFZ0077                                                ;                                                       ;UE                       ;
628      ;Locatie client           ;3996     ;FZ0645                                                 ;LOFFICE HUB SRL  36633097                                                                                                                                  ;LOFFICE HUB SRL                                                                                                                                            ;MFZ0078                                                ;                                                       ;UE                       ;
629      ;Locatie client           ;3997     ;FZ0705                                                 ;FISH HOUSE BY ZAITOONE SRL  36637617                                                                                                                       ;FISH HOUSE BY ZAITOONE SRL                                                                                                                                 ;MFZ0079                                                ;                                                       ;UE                       ;
630      ;Locatie client           ;3998     ;FZ0719                                                 ;IDEAL ARENA SRL  36766620                                                                                                                                  ;IDEAL ARENA SRL                                                                                                                                            ;MFZ0080                                                ;                                                       ;UE                       ;
631      ;Locatie client           ;3999     ;FZ0750                                                 ;AICEPTION SOFTWARE SRL  36983998                                                                                                                           ;AICEPTION SOFTWARE SRL                                                                                                                                     ;MFZ0081                                                ;                                                       ;UE                       ;
632      ;Locatie client           ;4000     ;FZ0706                                                 ;ATTITUDE LEARNING DEVELOPMENT SRL  37011297                                                                                                                ;ATTITUDE LEARNING DEVELOPMENT SRL                                                                                                                          ;MFZ0082                                                ;                                                       ;UE                       ;
633      ;Locatie client           ;4001     ;FZ0751                                                 ;HR PROFESSIONALS HUB SRL  37646788                                                                                                                         ;HR PROFESSIONALS HUB SRL                                                                                                                                   ;MFZ0084                                                ;                                                       ;UE                       ;
634      ;Locatie client           ;4002     ;FZ0814                                                 ;VINOTEQUE SRL  37849936                                                                                                                                    ;VINOTEQUE SRL                                                                                                                                              ;MFZ0085                                                ;                                                       ;UE                       ;
635      ;Locatie client           ;4003     ;FZ0012                                                 ;DGFPMB - ADMIN FIN PUBL S1  4193117                                                                                                                        ;DGFPMB - Admin Fin Publ S1                                                                                                                                 ;MFZ0086                                                ;                                                       ;UE                       ;
636      ;Locatie client           ;4004     ;FZ0398                                                 ;UNIVERSITATEA TEHNICA DE CONSTRUCTII BUCURESTI  4266570                                                                                                    ;UNIVERSITATEA TEHNICA DE CONSTRUCTII BUCURESTI                                                                                                             ;MFZ0087                                                ;                                                       ;UE                       ;
637      ;Locatie client           ;4005     ;FZ0437                                                 ;INSTITUTUL BANCAR ROMAN  4362607                                                                                                                           ;INSTITUTUL BANCAR ROMAN                                                                                                                                    ;MCLI0035                                               ;                                                       ;UE                       ;
638      ;Locatie client           ;4006     ;FZ0248                                                 ;BIZNES POLSKA SP ZOO  5252542648                                                                                                                           ;BIZNES POLSKA SP ZOO                                                                                                                                       ;MFZ0089                                                ;00-241 WARSZAWA                                        ;UE                       ;
639      ;Locatie client           ;4007     ;FZ0060                                                 ;PACOMP S.A.  6253584                                                                                                                                       ;PACOMP S.A.                                                                                                                                                ;MFZ0090                                                ;                                                       ;UE                       ;
640      ;Locatie client           ;4008     ;FZ0002                                                 ;GROUPAMA ASIGURARI SA  6291812                                                                                                                             ;Groupama Asigurari SA                                                                                                                                      ;MCLI0007                                               ;                                                       ;UE                       ;
641      ;Locatie client           ;4009     ;FZ0340                                                 ;REZIDOR HOTEL AMSTERDAM BV  8108.31.272.B.01                                                                                                               ;Rezidor Hotel Amsterdam BV                                                                                                                                 ;MFZ0093                                                ;----                                                   ;UE                       ;
642      ;Locatie client           ;4010     ;FZ0328                                                 ;FUNDATIA TEATRU FARA FRONTIERE  9045952                                                                                                                    ;FUNDATIA TEATRU FARA FRONTIERE                                                                                                                             ;MFZ0094                                                ;                                                       ;UE                       ;
662      ;Locatie client           ;4030     ;FZ0393                                                 ;SCC TECHNOLOGY SOLUTIONS PROV  FR41424982650                                                                                                               ;SCC TECHNOLOGY SOLUTIONS PROV                                                                                                                              ;MFZ0124                                                ;                                                       ;UE                       ;
663      ;Locatie client           ;4031     ;FZ0669                                                 ;SOFTWAREONE FRANCE SAS  FR45521976993                                                                                                                      ;SoftwareONE France SAS                                                                                                                                     ;MFZ0125                                                ;----                                                   ;UE                       ;
664      ;Locatie client           ;4032     ;FZ0301                                                 ;MANAGEMENT MOBILITY CONSULTING  FR487649451                                                                                                                ;Management Mobility Consulting                                                                                                                             ;MFZ0126                                                ;                                                       ;UE                       ;
665      ;Locatie client           ;4033     ;FZ0505                                                 ;SA AXWAY SOFTWARE  FR49433977980                                                                                                                           ;SA AXWAY SOFTWARE                                                                                                                                          ;MFZ0127                                                ;                                                       ;UE                       ;
666      ;Locatie client           ;4034     ;FZ0051                                                 ;TEAM RELOCATIONS (TRANSEURO)  FR53418304010                                                                                                                ;TEAM RELOCATIONS (TRANSEURO)                                                                                                                               ;MFZ0128                                                ;                                                       ;UE                       ;
667      ;Locatie client           ;4035     ;FZ0327                                                 ;HOTEL TOURAINE OPERA  FR59333193399                                                                                                                        ;HOTEL TOURAINE OPERA                                                                                                                                       ;MFZ0129                                                ;----                                                   ;UE                       ;
668      ;Locatie client           ;4036     ;FZ0014                                                 ;FIRST FINANCE  FR67489455584                                                                                                                               ;First Finance                                                                                                                                              ;MFZ0130                                                ;                                                       ;UE                       ;
669      ;Locatie client           ;4037     ;FZ0029                                                 ;INSIGHT TECHNOLOGY SOLUTIONS  FR74397888330                                                                                                                ;INSIGHT TECHNOLOGY SOLUTIONS                                                                                                                               ;MFZ0131                                                ;                                                       ;UE                       ;
670      ;Locatie client           ;4038     ;FZ0278                                                 ;EDITIONS FRANCIS LEFEBVRE  FR76414740852                                                                                                                   ;EDITIONS FRANCIS LEFEBVRE                                                                                                                                  ;MFZ0132                                                ;----                                                   ;UE                       ;
