10799    ;Locatie client                                         ;233      ;CL0027                                                 ;SG Kleinwort Hambros Bank Limited                                                                                                                          ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
234      ;Locatie client                                         ;234      ;CL0046                                                 ;SOCIETE GENERALE LONDON BRANCH EMEA                                                                                                                        ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
10798    ;Locatie client                                         ;235      ;CL0065                                                 ;SG International Limited                                                                                                                                   ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
236      ;Locatie client                                         ;236      ;CL0075                                                 ;SOCIETE GENERALE GBSU/EQD/LDP                                                                                                                              ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
237      ;Locatie client                                         ;237      ;CL0087                                                 ;SOCIETE GENERALE LONDON BRANCH ITEC/PRD/EMA                                                                                                                ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
238      ;Locatie client                                         ;238      ;CL0104                                                 ;SOCIETE GENERALE LONDON BRANCH NEWEDGE UK FIN REP                                                                                                          ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
10797    ;Locatie client                                         ;239      ;CL0130                                                 ;SOCIETE GENERALE HAMBROS BANK LIMITED - FINREP SOL                                                                                                         ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
240      ;Locatie client                                         ;240      ;CL0171                                                 ;SOCIETE GENERALE LONDON BRANCH ITEC/MKT/SEP                                                                                                                ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
241      ;Locatie client                                         ;241      ;CL0112                                                 ;SOCIETE GENERALE LONDON BRANCH HR                                                                                                                          ;SOCIETE GENERALE LONDON BRANCH                                                                                                                             ;MCL0001                                                ;
242      ;Locatie client                                         ;242      ;CL0047                                                 ;SOCIETE GENERALE PRIVATE BANKING SUISSE LAUSSANE                                                                                                           ;SOCIETE GENERALE PRIVATE BANKING SUISSE                                                                                                                    ;MCLI0032                                               ;
243      ;Locatie client                                         ;243      ;CL0023                                                 ;SOCIETE GENERALE PARIS, ZURICH BRANCH (HR)                                                                                                                 ;SOCIETE GENERALE ZURICH BRANCH                                                                                                                             ;MCL0006                                                ;
244      ;Locatie client                                         ;244      ;CL0011                                                 ;SOCIETE GENERALE HRCO/TRA                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
245      ;Locatie client                                         ;245      ;CL0012                                                 ;SOCIETE GENERALE LEARNING CATALOQUE                                                                                                                        ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
246      ;Locatie client                                         ;246      ;CL0013                                                 ;SOCIETE GENERALE E-LEARNING                                                                                                                                ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
247      ;Locatie client                                         ;247      ;CL0014                                                 ;SOCIETE GENERALE HRCO/SOL                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
248      ;Locatie client                                         ;248      ;CL0015                                                 ;SOCIETE GENERALE SFPM                                                                                                                                      ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10796    ;Locatie client                                         ;249      ;CL0016                                                 ;SOCIETE GENERALE DFIN/DOM/PTP/CSP                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
250      ;Locatie client                                         ;250      ;CL0020                                                 ;SOCIETE GENERALE DEVL/ACM                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
251      ;Locatie client                                         ;251      ;CL0021                                                 ;SOCIETE GENERALE DEVL/PPO/TRF PTP                                                                                                                          ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
252      ;Locatie client                                         ;252      ;CL0024                                                 ;SOCIETE GENERALE                                                                                                                                           ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
253      ;Locatie client                                         ;253      ;CL0028                                                 ;SOCIETE GENERALE GLOBAL BANKINK & INVESTOR SOLUTIO                                                                                                         ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
254      ;Locatie client                                         ;254      ;CL0031                                                 ;SOCIETE GENERALE DRHG/EXP                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10795    ;Locatie client                                         ;255      ;CL0034                                                 ;SOCIETE GENERALE DFIN/DOM/ACR                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
256      ;Locatie client                                         ;256      ;CL0035                                                 ;SOCIETE GENERALE HRCO/ DPL                                                                                                                                 ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
257      ;Locatie client                                         ;257      ;CL0036                                                 ;SOCIETE GENERALE HRCO/REP/ASR                                                                                                                              ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
258      ;Locatie client                                         ;258      ;CL0037                                                 ;SOCIETE GENERALE DRHG/PEO                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10794    ;Locatie client                                         ;259      ;CL0039                                                 ;SOCIETE GENERALE GTS/COO/SVM                                                                                                                               ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
260      ;Locatie client                                         ;260      ;CL0040                                                 ;SOCIETE GENERALE HRCO/ADM                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
