1889     ;IMO_205_001                                       ;Licente software                                                                                    ;Licente software                                                                                    ;Licente software                                                                                    ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1890     ;IMO_205_002                                       ;LICENTA MINITAB17                                                                                   ;LICENTA MINITAB17                                                                                   ;LICENTA MINITAB17                                                                                   ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1891     ;IMO_205_003                                       ;N6K-C6001-FAN-B                                                                                     ;N6K-C6001-FAN-B                                                                                     ;N6K-C6001-FAN-B                                                                                     ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1892     ;IMO_205_004                                       ;NXA-PAC-1100W-B                                                                                     ;NXA-PAC-1100W-B                                                                                     ;NXA-PAC-1100W-B                                                                                     ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1893     ;IMO_205_005                                       ;LICENSE CISCO IP PHONE CP-8841                                                                      ;LICENSE CISCO IP PHONE CP-8841                                                                      ;LICENSE CISCO IP PHO                                                                                ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1894     ;IMO_205_006                                       ;LICENTA AUDIOCONFERINTA CP-8831-K9                                                                  ;LICENTA AUDIOCONFERINTA CP-8831-K9                                                                  ;LICENTA AUDIOCONFERI                                                                                ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1895     ;IMO_205_007                                       ;Licente si Suport Cisco                                                                             ;Licente si Suport Cisco                                                                             ;Licente si Suport Ci                                                                                ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1896     ;IMO_205_008                                       ;Licenta ACROBAT                                                                                     ;Licenta ACROBAT                                                                                     ;Licenta ACROBAT                                                                                     ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1897     ;IMO_205_009                                       ;Licenta HttpWatch                                                                                   ;Licenta HttpWatch                                                                                   ;Licenta HttpWatch                                                                                   ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1898     ;IMO_205_0010                                      ;Licenta ABBYY Fine Reader                                                                           ;Licenta ABBYY Fine Reader                                                                           ;Licenta ABBYY Fine R                                                                                ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1899     ;IMO_205_0011                                      ;Licenta photoshop CC Win/mac VIP                                                                    ;Licenta photoshop CC Win/mac VIP                                                                    ;Licenta photoshop CC                                                                                ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
1900     ;IMO_205_0012                                      ;Licenta Sony Vegas 13                                                                               ;Licenta Sony Vegas 13                                                                               ;Licenta Sony Vegas 1                                                                                ;27252    ;205101                   ;MFIX_2015                                                                                           ;IT                                                     ;
